 asset_id |   tag   |          valid_from           |           valid_to            | changed_by | change_reason 
----------+---------+-------------------------------+-------------------------------+------------+---------------
        1 | MTR-001 | 2026-05-09 04:04:00.75307+00  | 2026-05-09 04:04:00.915622+00 | bootstrap  | ensure_seed
        1 | MTR-001 | 2026-05-09 04:04:00.915622+00 | 2026-05-09 04:46:08.31994+00  | api_bot    | sync_legacy
        1 | MTR-001 | 2026-05-09 04:46:08.31994+00  | 2026-05-09 04:46:08.490172+00 | bootstrap  | ensure_seed
        1 | MTR-001 | 2026-05-09 04:46:08.490172+00 | 2026-05-09 07:49:44.833332+00 | api_bot    | sync_legacy
        1 | MTR-001 | 2026-05-09 07:49:44.833332+00 | 2026-05-09 07:49:44.977949+00 | bootstrap  | ensure_seed
        1 | MTR-001 | 2026-05-09 07:49:44.977949+00 |                               | api_bot    | sync_legacy
        2 | MTR-002 | 2026-05-09 04:04:00.77414+00  | 2026-05-09 04:04:00.940735+00 | bootstrap  | ensure_seed
        2 | MTR-002 | 2026-05-09 04:04:00.940735+00 | 2026-05-09 04:46:08.349217+00 | api_bot    | sync_legacy
        2 | MTR-002 | 2026-05-09 04:46:08.349217+00 | 2026-05-09 04:46:08.51817+00  | bootstrap  | ensure_seed
        2 | MTR-002 | 2026-05-09 04:46:08.51817+00  | 2026-05-09 07:49:44.869114+00 | api_bot    | sync_legacy
        2 | MTR-002 | 2026-05-09 07:49:44.869114+00 | 2026-05-09 07:49:44.995884+00 | bootstrap  | ensure_seed
        2 | MTR-002 | 2026-05-09 07:49:44.995884+00 |                               | api_bot    | sync_legacy
        3 | MTR-003 | 2026-05-09 04:04:00.795089+00 | 2026-05-09 04:04:00.964325+00 | bootstrap  | ensure_seed
        3 | MTR-003 | 2026-05-09 04:04:00.964325+00 | 2026-05-09 04:46:08.371987+00 | api_bot    | sync_legacy
        3 | MTR-003 | 2026-05-09 04:46:08.371987+00 | 2026-05-09 04:46:08.550535+00 | bootstrap  | ensure_seed
        3 | MTR-003 | 2026-05-09 04:46:08.550535+00 | 2026-05-09 07:49:44.886008+00 | api_bot    | sync_legacy
        3 | MTR-003 | 2026-05-09 07:49:44.886008+00 | 2026-05-09 07:49:45.014307+00 | bootstrap  | ensure_seed
        3 | MTR-003 | 2026-05-09 07:49:45.014307+00 |                               | api_bot    | sync_legacy
        4 | MTR-004 | 2026-05-09 04:04:00.814021+00 | 2026-05-09 04:04:00.98702+00  | bootstrap  | ensure_seed
        4 | MTR-004 | 2026-05-09 04:04:00.98702+00  | 2026-05-09 04:46:08.392582+00 | api_bot    | sync_legacy
        4 | MTR-004 | 2026-05-09 04:46:08.392582+00 | 2026-05-09 04:46:08.581583+00 | bootstrap  | ensure_seed
        4 | MTR-004 | 2026-05-09 04:46:08.581583+00 | 2026-05-09 07:49:44.903056+00 | api_bot    | sync_legacy
        4 | MTR-004 | 2026-05-09 07:49:44.903056+00 | 2026-05-09 07:49:45.031265+00 | bootstrap  | ensure_seed
        4 | MTR-004 | 2026-05-09 07:49:45.031265+00 |                               | api_bot    | sync_legacy
(24 rows)

