 asset_tag |          measured_at          | temperature_c | vibration_mm_s | rpm  | power_kw | quality_score 
-----------+-------------------------------+---------------+----------------+------+----------+---------------
 MTR-001   | 2026-05-09 07:30:00+00        |         61.11 |           2.60 |      |          |          0.80
 MTR-002   | 2026-05-09 07:30:00+00        |         71.11 |           3.40 |      |          |          0.80
 MTR-003   | 2026-05-09 07:00:00+00        |         51.67 |           1.90 |      |          |          0.80
 MTR-002   | 2026-05-09 07:00:00+00        |         70.00 |           3.20 |      |          |          0.80
 MTR-001   | 2026-05-09 07:00:00+00        |         60.28 |           2.50 |      |          |          0.80
 MTR-004   | 2026-05-09 07:00:00+00        |         54.44 |           2.10 |      |          |          0.80
 MTR-002   | 2026-05-09 04:44:59.453378+00 |         57.18 |           1.18 | 2365 |   141.44 |          1.00
 MTR-002   | 2026-05-09 04:44:58.45315+00  |         73.02 |           1.78 | 2819 |   147.60 |          1.00
 MTR-001   | 2026-05-09 04:44:57.452699+00 |         38.22 |           5.90 | 1833 |    87.14 |          1.00
 MTR-002   | 2026-05-09 04:44:56.452466+00 |         71.56 |           3.78 | 2118 |   144.11 |          1.00
 MTR-004   | 2026-05-09 04:44:55.452141+00 |         53.12 |           1.68 | 3425 |    66.49 |          1.00
 MTR-003   | 2026-05-09 04:44:54.451892+00 |         51.78 |           2.18 | 3248 |   140.37 |          1.00
 MTR-004   | 2026-05-09 04:44:53.451613+00 |         35.31 |           8.25 | 3560 |    88.66 |          1.00
 MTR-002   | 2026-05-09 04:44:52.451338+00 |         40.26 |           4.84 | 2718 |    74.71 |          1.00
 MTR-001   | 2026-05-09 04:44:51.451151+00 |         59.17 |           4.87 | 3570 |    49.89 |          1.00
 MTR-002   | 2026-05-09 04:44:50.450938+00 |         86.55 |           4.46 | 2743 |   148.89 |          1.00
 MTR-001   | 2026-05-09 04:44:49.450743+00 |         67.51 |           1.99 | 3168 |    53.74 |          1.00
 MTR-002   | 2026-05-09 04:44:48.450538+00 |         74.32 |           2.35 | 2069 |    58.31 |          1.00
 MTR-004   | 2026-05-09 04:44:47.450353+00 |         62.20 |           3.21 | 2277 |   154.23 |          1.00
 MTR-001   | 2026-05-09 04:44:46.450166+00 |         36.29 |          10.67 | 3361 |    82.47 |          1.00
(20 rows)

