  bot_name  | status  |          started_at           |          finished_at          | records_in | records_ok | records_failed | duration_ms 
------------+---------+-------------------------------+-------------------------------+------------+------------+----------------+-------------
 sensor_bot | SUCCESS | 2026-05-09 07:51:00.003783+00 | 2026-05-09 07:51:00.803329+00 |         60 |         60 |              0 |         799
 api_bot    | SUCCESS | 2026-05-09 07:51:00.001964+00 | 2026-05-09 07:51:00.494234+00 |         27 |         27 |              0 |         492
 sensor_bot | SUCCESS | 2026-05-09 07:50:00.003275+00 | 2026-05-09 07:50:00.19102+00  |         15 |         15 |              0 |         187
 manual_bot | SUCCESS | 2026-05-09 07:50:00.001555+00 | 2026-05-09 07:50:00.028335+00 |          0 |          0 |              0 |          26
 file_bot   | SUCCESS | 2026-05-09 07:50:00.00091+00  | 2026-05-09 07:50:00.021453+00 |          0 |          0 |              0 |          20
 manual_bot | SUCCESS | 2026-05-09 07:49:45.559542+00 | 2026-05-09 07:49:45.576938+00 |          0 |          0 |              0 |          17
 sensor_bot | SUCCESS | 2026-05-09 07:49:45.372858+00 | 2026-05-09 07:49:45.543781+00 |         12 |         12 |              0 |         170
 api_bot    | SUCCESS | 2026-05-09 07:49:44.953372+00 | 2026-05-09 07:49:45.358908+00 |         29 |         29 |              0 |         405
 file_bot   | SUCCESS | 2026-05-09 07:49:44.91871+00  | 2026-05-09 07:49:44.938308+00 |          0 |          0 |              0 |          19
 sensor_bot | SUCCESS | 2026-05-09 04:53:00.000532+00 | 2026-05-09 04:53:00.626402+00 |         60 |         60 |              0 |         625
 sensor_bot | SUCCESS | 2026-05-09 04:52:00.001252+00 | 2026-05-09 04:52:00.730541+00 |         60 |         60 |              0 |         729
 file_bot   | SUCCESS | 2026-05-09 04:52:00.000728+00 | 2026-05-09 04:52:00.027007+00 |          0 |          0 |              0 |          26
 sensor_bot | SUCCESS | 2026-05-09 04:51:00.001382+00 | 2026-05-09 04:51:00.693786+00 |         60 |         60 |              0 |         692
 api_bot    | SUCCESS | 2026-05-09 04:51:00.00096+00  | 2026-05-09 04:51:00.419164+00 |         30 |         30 |              0 |         418
 sensor_bot | SUCCESS | 2026-05-09 04:50:00.001385+00 | 2026-05-09 04:50:00.673828+00 |         60 |         60 |              0 |         672
 manual_bot | SUCCESS | 2026-05-09 04:50:00.001215+00 | 2026-05-09 04:50:00.028932+00 |          0 |          0 |              0 |          27
 file_bot   | SUCCESS | 2026-05-09 04:50:00.000847+00 | 2026-05-09 04:50:00.021304+00 |          0 |          0 |              0 |          20
 sensor_bot | SUCCESS | 2026-05-09 04:49:00.000637+00 | 2026-05-09 04:49:01.01142+00  |         60 |         60 |              0 |        1010
 sensor_bot | SUCCESS | 2026-05-09 04:48:00.004218+00 | 2026-05-09 04:48:00.736613+00 |         60 |         60 |              0 |         732
 file_bot   | SUCCESS | 2026-05-09 04:48:00.003349+00 | 2026-05-09 04:48:00.045247+00 |          0 |          0 |              0 |          41
(20 rows)

